Power supply,Good Multi,Bad Multi,My Setup,Difference,Step,power supply Step
14.01,,,13.9,-0.11,,
13.85,,,13.77,-0.08,0.13,0.16
13.72,,,13.63,-0.09,0.14,0.13
13.66,,,13.63,-0.03,0,0.06
13.53,,,13.5,-0.03,0.13,0.13
13.41,,,13.36,-0.05,0.14,0.12
13.32,,,13.23,-0.09,0.13,0.09
13.22,,,13.09,-0.13,0.14,0.1
13.1,13.05,12.97,13.09,-0.01,0,0.12
13.04,13,12.92,12.96,-0.08,0.13,0.06
12.97,12.94,12.85,12.82,-0.15,0.14,0.07
12.91,12.87,12.8,12.82,-0.09,0,0.06
12.78,12.75,12.66,12.69,-0.09,0.13,0.13
12.64,12.59,12.5,12.55,-0.09,0.14,0.14
12.51,12.46,12.37,12.42,-0.09,0.13,0.13
12.45,12.4,12.31,12.42,-0.03,0,0.06
12.31,12.27,12.19,12.28,-0.03,0.14,0.14
12.19,12.15,12.06,12.15,-0.04,0.13,0.12
12.13,12.09,12,12.15,0.02,0,0.06
11.97,11.94,11.84,11.88,-0.09,0.27,0.16
11.94,11.9,11.81,11.88,-0.06,0,0.03
11.82,11.78,11.69,11.74,-0.08,0.14,0.12
11.69,,,11.61,-0.08,0.13,0.13
11.59,,,11.61,0.02,0,0.1
11.46,,,11.47,0.01,0.14,0.13
11.34,,,11.34,0,0.13,0.12
11.28,,,11.2,-0.08,0.14,0.06
11.15,,,11.07,-0.08,0.13,0.13
11.03,,,10.93,-0.1,0.14,0.12
10.97,,,10.93,-0.04,0,0.06
10.84,,,10.8,-0.04,0.13,0.13
10.71,,,10.66,-0.05,0.14,0.13
10.65,,,10.66,0.01,0,0.06
10.53,,,10.53,0,0.13,0.12
10.4,,,10.39,-0.01,0.14,0.13
10.34,,,10.26,-0.08,0.13,0.06
10.22,,,10.12,-0.1,0.14,0.12
